,date,symbol,mcap,price,volume
400,20150901,BTC,3322554401.63,228.12,20575206.0
401,20150901,XRP,253894522.69,0.007815,401902.94
402,20150901,LTC,118709526.01,2.82,1376038.0
403,20150901,ETH,98507852.28,1.35,778861.69
404,20150901,DASH,14586373.29,2.54,70242.53
405,20150901,DOGE,12814625.4,0.0001271,68704.35
406,20150901,BANX,12369430.0,1.73,8979.07
407,20150901,XLM,11779813.27,0.002435,4817.81
408,20150901,BCN,10105075.6,5.747e-05,16594.26
409,20150901,MAID,9989953.4,0.02207,12773.41
410,20150901,BTS,8423110.24,0.003353,37946.0
411,20150901,NXT,8048025.8,0.008048,10544.7
412,20150901,PPC,7757871.39,0.3433,25895.51
413,20150901,NMC,4879591.07,0.3951,8267.46
414,20150901,XMR,4195022.78,0.4585,13803.79
415,20150901,TRMB,2466542.81,0.157,16839.33
416,20150901,MONA,2384095.99,0.1075,1150.42
417,20150901,XCP,2306270.41,0.8737,2165.14
418,20150901,YBC,1860717.24,0.6202,16261.37
419,20150901,BLK,1675998.39,0.02235,3911.8
420,20151001,BTC,3486370918.98,237.55,20488800.0
421,20151001,XRP,177004868.35,0.005448,557596.88
422,20151001,LTC,127686130.14,3.0,1644009.0
423,20151001,ETH,50805887.61,0.6902,596084.38
424,20151001,BTS,15185923.21,0.006045,121291.68
425,20151001,DASH,13396704.79,2.29,48612.37
426,20151001,BANX,12953309.95,1.81,9360.47
427,20151001,DOGE,12387831.63,0.0001224,28259.82
428,20151001,XLM,10760213.5,0.002224,12893.78
429,20151001,PPC,8834018.84,0.3898,22284.79
430,20151001,MAID,8423769.16,0.01861,46628.77
431,20151001,NXT,8262068.25,0.008262,14448.8
432,20151001,NMC,4732051.91,0.3765,32165.9
433,20151001,BCN,4424786.15,2.507e-05,11373.03
434,20151001,TRMB,4096588.98,0.1573,34091.71
435,20151001,XMR,3852807.63,0.4047,27171.58
436,20151001,XCP,2338594.14,0.8861,733.0
437,20151001,MONA,2050261.4,0.09025,4341.98
438,20151001,BLK,2036568.85,0.02715,3754.28
439,20151001,YBC,1767154.28,0.5891,21096.39
440,20151101,BTC,4813284493.67,325.43,37001108.0
441,20151101,LTC,170183389.6,3.96,3801479.75
442,20151101,XRP,162511634.35,0.004901,490105.47
443,20151101,ETH,78530175.58,1.06,588913.06
444,20151101,DASH,15842369.86,2.66,79513.27
445,20151101,DOGE,14362087.9,0.0001413,65837.34
446,20151101,BTS,10921897.41,0.004348,86421.17
447,20151101,XLM,10294793.18,0.002128,10484.2
448,20151101,PPC,8677780.62,0.3817,37131.25
449,20151101,NXT,7624970.96,0.007625,12105.17
450,20151101,MAID,7370540.29,0.01629,21399.56
451,20151101,TRMB,6482569.52,0.1583,36344.57
452,20151101,BCN,6323254.07,3.569e-05,561.41
453,20151101,NMC,5038319.66,0.3937,13505.1
454,20151101,XMR,4187538.89,0.4235,27613.45
455,20151101,GRC,3778434.36,0.01023,9371.2
456,20151101,XCP,2832257.47,1.07,12966.44
457,20151101,DGB,2174009.61,0.0004122,28591.75
458,20151101,YBC,2128245.06,0.7094,52518.71
459,20151101,BLK,2072928.36,0.02762,11550.19
460,20151201,BTC,5403659484.42,362.49,60452208.0
